datetime,open,high,low,close,volume
2022-10-26,290.040009,305.63,288.040009,298.62,15714100.0
2022-10-27,298.32999,305.20999,294.78,296.94,14612600.0
2022-10-28,297.70001,301.19,292.29001,295.72,9960500.0
2022-10-31,295.13,297.62,289.5,291.88,7505100.0
2022-11-01,296.17001,299.70001,286.42001,286.75,6916400.0
2022-11-02,286.39999,287.32999,272.84,273.0,10367600.0
2022-11-03,271.25,276.29001,268.79999,269.059998,7057400.0
2022-11-04,272.019989,274.97,255.32001,260.79001,11119200.0
2022-11-07,261.059998,261.14999,252.089996,258.60001,7927000.0
2022-11-08,259.92001,266.079987,256.88,263.45999,7683800.0
2022-11-09,259.66,260.89999,254.22,254.66,7266000.0
2022-11-10,265.98999,275.35999,260.089996,274.97,9667300.0
2022-11-11,274.47,290.66,271.56,290.13,9567300.0
2022-11-14,290.0,311.0,288.19,299.26999,17978200.0
2022-11-15,309.20001,312.70999,302.54999,310.20001,14626900.0
2022-11-16,309.94,310.48999,303.60999,306.019989,8038600.0
2022-11-17,294.72,299.82001,291.0,295.28,9838200.0
2022-11-18,297.32999,298.0,287.0,287.98001,8392100.0
2022-11-21,291.0,291.87,282.66,285.049988,7256500.0
2022-11-22,284.98999,286.98001,277.34,286.69,6245100.0
2022-11-23,285.91,292.47,283.76001,291.5,5919000.0
2022-11-25,289.0,289.20999,284.17001,285.54001,3236000.0
2022-11-28,284.0,289.54999,280.53,281.17001,4703400.0
2022-11-29,282.5,282.95999,275.94,280.95999,5786900.0
2022-11-30,281.37,308.26001,280.41,305.53,16056500.0
2022-12-01,303.98999,319.79999,303.029999,316.95001,14664900.0
2022-12-02,310.48999,321.98999,310.0,320.41,12683500.0
2022-12-05,316.45999,322.76999,310.92001,312.59,8423000.0
2022-12-06,311.0,313.22,303.13,305.56,7195400.0
2022-12-07,306.5,309.60999,302.10001,308.42001,7821600.0
2022-12-08,309.10999,312.38,304.81,310.26001,7205300.0
2022-12-09,321.45001,329.0,319.51999,320.01001,14354700.0
2022-12-12,320.0,323.17999,308.85001,315.17999,10148600.0
2022-12-13,328.0,332.72,317.20001,320.34,10756400.0
2022-12-14,318.97,324.70999,314.42001,317.82999,7543300.0
2022-12-15,302.12,303.39001,286.54999,290.41,17724600.0
2022-12-16,288.76001,294.72,288.70001,290.70999,14070500.0
2022-12-19,289.73001,292.25,286.13,288.29999,6163700.0
2022-12-20,281.23999,289.28,280.81,288.19,6918100.0
2022-12-21,289.98999,300.66,286.5,297.95999,6376200.0
2022-12-22,298.089996,298.88,290.81,297.75,7856200.0
2022-12-23,296.17999,298.45999,291.91,294.95999,4251100.0
2022-12-27,293.19,293.57001,282.13,284.17001,5778100.0
2022-12-28,281.92001,285.19,273.41,276.88,5964400.0
2022-12-29,283.17999,295.5,281.01001,291.12,9588500.0
2022-12-30,285.53,295.01001,283.22,294.88,7557400.0
2023-01-03,298.059998,298.39001,288.70001,294.95001,6764000.0
2023-01-04,298.23999,311.14001,295.51001,309.41,9345100.0
2023-01-05,307.0,314.17999,304.54999,309.70001,8328400.0
2023-01-06,311.57001,316.76999,303.69,315.54999,8949600.0
2023-01-09,316.82999,321.70001,313.22,315.17001,6766600.0
2023-01-10,311.070007,329.35001,311.070007,327.54001,13072300.0
2023-01-11,326.5,328.88,321.35001,327.26001,9579700.0
2023-01-12,332.5,332.95001,323.14001,330.13,10856200.0
2023-01-13,329.97,336.64999,328.89001,332.82001,8277200.0
2023-01-17,331.079987,332.5,323.60001,326.22,9247000.0
2023-01-18,326.75,330.079987,321.25,326.32999,7814100.0
2023-01-19,322.57001,324.89001,313.39001,315.78,18008200.0
2023-01-20,336.79001,344.0,332.63,342.5,28385600.0
2023-01-23,341.72,362.25,340.63,357.42001,15646900.0
2023-01-24,357.53,365.64999,355.14001,363.82999,11796500.0
2023-01-25,360.57001,368.89999,358.5,367.95999,7766900.0
2023-01-26,368.76999,369.019989,361.70001,364.87,8256800.0
2023-01-27,363.20001,365.92001,360.59,360.76999,6696100.0
2023-01-30,358.44,360.95001,352.85999,353.10999,5127600.0
2023-01-31,349.98001,355.95001,348.70999,353.85999,5660700.0
2023-02-01,353.85999,365.39001,349.91,361.98999,8005200.0
2023-02-02,365.16,368.32001,358.42999,366.89001,7857000.0
2023-02-03,359.079987,379.42999,359.0,365.89999,9397000.0
2023-02-06,363.64001,368.45001,360.67999,361.48001,4994900.0
2023-02-07,358.51001,364.17999,354.17999,362.95001,6289400.0
2023-02-08,360.019989,368.19,358.31,366.82999,6253200.0
2023-02-09,372.41,373.82999,361.73999,362.5,6901100.0
2023-02-10,359.16,362.14001,347.14001,347.35999,7287300.0
2023-02-13,349.5,359.70001,344.25,358.57001,7134400.0
2023-02-14,357.54999,363.75,353.39999,359.95999,4624800.0
2023-02-15,356.63,362.88,354.23999,361.42001,3969900.0
2023-02-16,355.0,361.5,350.31,350.70999,5215700.0
2023-02-17,347.91,349.0,342.44,347.95999,5292000.0
2023-02-21,342.85001,344.13,336.42001,337.5,5710300.0
2023-02-22,337.5,341.91,332.82001,334.88,4546200.0
2023-02-23,331.23001,331.28,314.29999,323.64999,13238700.0
2023-02-24,319.29999,321.5,314.51999,317.14999,6830700.0
2023-02-27,323.87,330.0,322.12,323.029999,6142600.0
2023-02-28,323.70001,327.62,321.17001,322.13,3676100.0
2023-03-01,321.54999,326.60001,312.35999,313.48001,4911300.0
2023-03-02,310.95999,315.57001,310.38,311.88,4911000.0
2023-03-03,315.45001,317.48999,310.82001,315.17999,5948700.0
2023-03-06,317.0,323.29999,311.84,312.029999,5660700.0
2023-03-07,312.67999,314.29999,306.62,308.47,4553100.0
2023-03-08,309.29001,311.82999,305.75,311.79001,3479500.0
2023-03-09,312.079987,312.51001,294.88,297.78,7443400.0
2023-03-10,297.89999,298.79001,289.0,292.76001,5753800.0
2023-03-13,287.34,299.23999,285.32999,293.51001,6292400.0
2023-03-14,295.97,297.45001,290.31,294.94,5956700.0
2023-03-15,292.51001,306.31,292.28,303.79001,9215300.0
2023-03-16,304.75,316.60001,301.70999,310.059998,7903700.0
2023-03-17,310.059998,310.76001,300.0,303.5,6912100.0
2023-03-20,299.79001,307.5,296.0,305.13,5113400.0
2023-03-21,306.32001,307.92001,300.42999,305.79001,4886300.0
2023-03-22,306.31,306.45001,293.54001,293.89999,5808000.0
2023-03-23,304.67999,322.78,304.14001,320.37,15653300.0
2023-03-24,320.63,331.82999,320.63,328.39001,12991700.0
2023-03-27,327.54999,336.44,324.41,327.66,8625800.0
2023-03-28,326.059998,333.32001,321.28,323.51999,6489400.0
2023-03-29,326.29001,332.85001,325.73001,332.029999,6287300.0
2023-03-30,340.26999,343.29001,335.29999,338.42999,7131500.0
2023-03-31,340.049988,345.84,337.20001,345.48001,5604300.0
2023-04-03,341.82999,348.57999,340.39999,348.28,4413700.0
2023-04-04,348.48999,349.79999,343.95001,346.75,3298100.0
2023-04-05,345.29999,345.42999,336.25,342.35001,4205500.0
2023-04-06,339.34,340.48001,332.63,339.32999,4660500.0
2023-04-10,335.26999,339.88,333.35999,338.98999,2657900.0
2023-04-11,343.45001,347.14001,337.64001,338.20999,4044800.0
2023-04-12,340.81,342.79999,330.040009,331.029999,3965400.0
2023-04-13,339.98999,346.42999,338.75,346.19,7406400.0
2023-04-14,342.94,344.85001,336.41,338.63,5345600.0
2023-04-17,338.0,338.39001,327.5,332.72,6136000.0
2023-04-18,335.0,337.19,330.5,333.70001,17944500.0
2023-04-19,324.20999,325.75,316.10001,323.12,22128300.0
2023-04-20,320.39001,331.42999,318.32999,325.35001,9947800.0
2023-04-21,323.0,328.29001,319.5,327.98001,6342600.0
2023-04-24,330.20001,334.66,326.75,329.019989,5586600.0
2023-04-25,328.5,328.66,321.10001,322.54999,5426600.0
2023-04-26,321.35999,325.89999,320.47,321.14999,4623200.0
2023-04-27,324.29999,327.45001,317.44,325.85001,5618800.0
2023-04-28,325.23999,330.81,324.0,329.92999,4221900.0
2023-05-01,329.44,331.23001,318.089996,324.12,5341500.0
2023-05-02,325.0,326.070007,315.62,317.54999,4318600.0
2023-05-03,317.54999,324.62,315.85001,319.29999,5064100.0
2023-05-04,319.01001,323.60999,317.95001,320.78,3879700.0
2023-05-05,323.60999,324.14999,319.44,322.76001,3988600.0
2023-05-08,322.98999,332.56,322.029999,331.20999,5488600.0
2023-05-09,330.67001,336.32001,329.73999,332.14001,5544900.0
2023-05-10,335.20999,337.10999,329.51001,335.42001,4289900.0
2023-05-11,334.98001,345.47,331.84,344.76001,8033500.0
2023-05-12,344.76001,348.17001,337.35999,339.89001,6079900.0
2023-05-15,340.62,341.89999,335.54001,335.89001,3653000.0
2023-05-16,334.0,335.17001,331.91,333.75,3332200.0
2023-05-17,331.76001,341.38,329.62,339.95999,3958800.0
2023-05-18,347.25,375.87,346.37,371.29001,20925200.0
2023-05-19,369.85999,369.98999,363.81,365.35999,7850900.0
2023-05-22,365.35999,372.01001,362.5,363.01001,5406400.0
2023-05-23,360.23999,364.17001,354.31,355.98999,6866100.0
2023-05-24,356.92999,367.14999,356.63,364.85001,7973300.0
2023-05-25,359.60999,367.45001,357.42001,359.0,6263100.0
2023-05-26,361.10001,383.76001,356.0,378.88,9360400.0
2023-05-30,397.48001,405.10999,385.79001,392.98001,10865000.0
2023-05-31,391.89001,396.26001,388.91,395.23001,6988000.0
2023-06-01,397.41,407.51999,393.079987,403.13,7160100.0
2023-06-02,402.89001,406.57999,395.89999,400.47,5897300.0
2023-06-05,400.47,413.85999,400.14999,403.54001,7247400.0
2023-06-06,405.0,405.12,396.92999,399.29001,4991500.0
2023-06-07,410.42999,418.95001,399.23001,399.76999,11932400.0
2023-06-08,399.76999,409.54001,396.34,409.37,5991100.0
2023-06-09,424.5,425.89999,414.76001,420.019989,12363000.0
2023-06-12,418.82999,424.70001,416.57001,423.97,5959500.0
2023-06-13,430.01001,437.26999,428.39999,435.73001,7820500.0
2023-06-14,434.98999,447.32999,433.5,440.85999,8413100.0
2023-06-15,444.10001,448.64999,439.5,445.26999,7099900.0
2023-06-16,446.14999,447.51001,430.89999,431.95999,8745500.0
2023-06-20,430.17999,440.0,430.0,434.70001,4756000.0
2023-06-21,432.64999,434.54999,422.54001,424.45001,5146400.0
2023-06-22,422.92999,424.70999,418.67999,422.48001,4869500.0
2023-06-23,418.59,425.82001,417.73001,424.019989,8293900.0
2023-06-26,422.44,430.95999,414.89999,415.94,4640000.0
2023-06-27,417.39001,420.88,411.5,417.079987,4818100.0
2023-06-28,423.10001,437.29001,422.89001,429.84,8811300.0
2023-06-29,434.32999,437.85001,426.14999,428.23999,4932300.0
2023-06-30,431.10001,444.12,431.10001,440.48999,7342000.0
2023-07-03,439.76001,441.54999,431.62,441.44,3733200.0
2023-07-05,444.91,450.97,439.62,445.89999,6869500.0
2023-07-06,440.0,442.79999,430.72,438.84,4938800.0
2023-07-07,438.60001,442.32999,435.84,438.10001,4160100.0
2023-07-10,438.51999,444.41,436.82001,441.70999,4251700.0
2023-07-11,438.64999,440.79999,431.040009,440.20999,4574600.0
2023-07-12,444.54999,445.41,437.75,444.049988,5731700.0
2023-07-13,447.0,451.67001,441.17999,450.38,6157500.0
2023-07-14,452.79001,456.48001,439.70001,441.91,7184900.0
2023-07-17,445.57001,456.67999,445.10999,450.049988,6891700.0
2023-07-18,451.0,478.14999,448.78,474.79999,13196900.0
2023-07-19,476.85999,485.0,470.0,477.59,20996500.0
2023-07-20,447.0,448.5,432.0,437.42001,23989700.0
2023-07-21,437.37,438.23999,423.19,427.5,17303700.0
2023-07-24,425.0,428.64001,419.19,428.37,8264400.0
2023-07-25,427.17999,430.88,426.13,427.70001,4859800.0
2023-07-26,424.20001,425.26001,415.59,422.67001,6009200.0
2023-07-27,426.89999,427.51999,411.88,413.17001,6594500.0
2023-07-28,415.56,427.47,413.76001,425.78,6424200.0
2023-07-31,426.51001,439.13,426.29999,438.97,6587600.0
2023-08-01,437.37,445.25,431.39999,438.62,5711500.0
2023-08-02,435.23001,435.56,426.56,429.70001,4912200.0
2023-08-03,427.79999,441.92999,427.19,431.0,6243900.0
2023-08-04,433.059998,436.5,426.26999,431.60001,5439700.0
2023-08-07,436.45999,441.10999,428.91,440.76001,4781300.0
2023-08-08,440.35999,443.57001,435.10001,438.29999,3767200.0
2023-08-09,439.73999,440.62,427.59,428.89999,3846600.0
2023-08-10,431.12,438.12,428.69,429.98001,5467600.0
2023-08-11,428.98001,430.63,421.32999,421.66,3925200.0
2023-08-14,421.98999,428.85001,418.78,427.78,3966000.0
2023-08-15,424.41,429.12,421.040009,423.70001,3368000.0
2023-08-16,423.73001,424.51001,415.25,415.45001,3967000.0
2023-08-17,415.0,415.23999,401.57999,403.0,6031500.0
2023-08-18,399.32999,406.51999,398.14999,404.53,4309200.0
2023-08-21,402.23001,409.60999,399.5,408.29001,3861600.0
2023-08-22,409.0,415.73999,407.39999,413.17001,3603300.0
2023-08-23,418.39999,437.019989,417.70999,427.54999,8174700.0
2023-08-24,425.41,427.59,406.17001,406.92999,5687800.0
2023-08-25,412.0,419.25,407.56,416.029999,5390900.0
2023-08-28,418.040009,419.82999,413.26999,418.059998,2928600.0
2023-08-29,416.0,432.17001,414.5,429.98999,4486700.0
