Datetime,Close,Open,High,Low,Volume
2024-10-15 04:00:00,88.29,90.5,90.65,87.71,4602753.0
2024-10-16 04:00:00,89.37,88.24,89.62,87.88,2679632.0
2024-10-17 04:00:00,89.39,91.04,91.124,89.31,3484304.0
2024-10-18 04:00:00,90.31,90.11,90.7,89.42,2207146.0
2024-10-21 04:00:00,89.88,89.98,90.42,88.46,3368093.0
2024-10-22 04:00:00,89.69,88.63,90.21,88.33,2797598.0
2024-10-23 04:00:00,87.17,88.69,88.9,85.53,4292224.0
2024-10-24 04:00:00,87.71,88.09,88.1,86.54,3369234.0
2024-10-25 04:00:00,87.54,88.69,90.0201,87.12,4653560.0
2024-10-28 04:00:00,88.33,89.12,89.14,88.2,2906447.0
2024-10-29 04:00:00,88.71,87.86,89.255,87.21,2836533.0
2024-10-30 04:00:00,87.9,88.51,89.42,87.57,3107863.0
2024-10-31 04:00:00,82.66,85.86,85.89,82.62,6461183.0
2024-11-01 04:00:00,83.66,83.8,85.6439,83.49,4409763.0
2024-11-04 05:00:00,83.09,83.71,84.29,82.265,3364724.0
2024-11-05 05:00:00,86.09,83.52,86.1,83.41,3214568.0
2024-11-06 05:00:00,92.5,91.67,92.8898,89.97,7138662.0
2024-11-07 05:00:00,94.58,93.44,95.0799,93.38,3854643.0
2024-11-08 05:00:00,95.78,94.76,96.4,94.76,3727387.0
2024-11-11 05:00:00,95.98,96.53,96.66,95.1501,2856743.0
2024-11-12 05:00:00,95.05,95.93,96.21,93.84,3531906.0
2024-11-13 05:00:00,95.17,95.24,96.15,94.11,3611306.0
2024-11-14 05:00:00,93.3,95.2,95.4401,92.97,3269292.0
2024-11-15 05:00:00,89.62,91.53,91.735,88.73,5043353.0
2024-11-18 05:00:00,90.71,89.83,91.32,89.41,3077868.0
2024-11-19 05:00:00,91.7,89.08,92.01,88.78,3637077.0
2024-11-20 05:00:00,91.75,91.7,91.86,88.99,3972873.0
2024-11-21 05:00:00,93.17,93.07,93.8499,90.2917,4944499.0
2024-11-22 05:00:00,93.94,93.1,94.26,92.8705,2983237.0
2024-11-25 05:00:00,94.86,95.83,96.47,93.77,4131912.0
2024-11-26 05:00:00,96.38,95.45,96.67,95.14,3253109.0
2024-11-27 05:00:00,95.39,96.21,96.37,94.66,2693593.0
2024-11-29 05:00:00,97.05,95.69,97.4698,95.59,1798429.0
2024-12-02 05:00:00,97.62,97.28,97.9099,97.03,2394535.0
2024-12-03 05:00:00,97.67,97.48,97.81,96.95,2111250.0
2024-12-04 05:00:00,99.44,98.49,99.58,98.18,3113680.0
2024-12-05 05:00:00,98.96,99.44,99.8555,98.79,2103631.0
2024-12-06 05:00:00,99.48,99.25,100.06,99.0505,2901931.0
2024-12-09 05:00:00,97.86,99.34,99.43,97.57,3326175.0
2024-12-10 05:00:00,96.94,98.16,98.335,96.6,2314048.0
2024-12-11 05:00:00,99.18,98.32,99.61,98.18,2333980.0
2024-12-12 05:00:00,97.6,98.68,98.9483,97.58,2464797.0
2024-12-13 05:00:00,97.46,98.47,98.8499,96.7501,2761652.0
2024-12-16 05:00:00,98.63,98.24,99.12,97.89,2664838.0
2024-12-17 05:00:00,97.37,97.35,97.81,96.705,3155593.0
2024-12-18 05:00:00,88.74,97.21,98.3997,88.43,7538809.0
2024-12-19 05:00:00,88.54,90.9,91.65,88.425,6655367.0
2024-12-20 05:00:00,91.48,87.35,93.7,86.975,7185193.0
2024-12-23 05:00:00,93.01,91.22,93.26,89.73,3728213.0
2024-12-24 05:00:00,95.98,93.55,96.02,93.28,2349821.0
2024-12-26 05:00:00,95.97,95.11,96.5401,94.46,2961468.0
2024-12-27 05:00:00,92.91,94.08,94.21,90.85,5207299.0
2024-12-30 05:00:00,89.66,89.5,91.31,87.89,5261846.0
2024-12-31 05:00:00,88.64,90.39,90.7095,87.89,4339626.0
2025-01-02 05:00:00,87.9,90.07,90.89,86.09,5994152.0
2025-01-03 05:00:00,91.12,89.2,91.45,88.69,9809820.0
